id,before 1929,1930-1964,1965-1992,1993-2015,before 2015
E02000140,80,2610,540,180,"3,410"
E02000141,2150,470,430,170,"3,240"
E02000142,980,1100,1030,350,"3,490"
E02000144,1220,1400,860,440,"3,930"
E02000145,340,1610,1070,540,"3,670"
E02000146,1900,900,540,600,"3,970"
E02000147,150,2070,830,220,"3,290"
E02000148,190,1890,460,190,"2,740"
E02000149,330,2350,410,153,"3,250"
E02000150,480,1960,290,450,"3,190"
E02000151,110,2570,330,60,"3,050"
E02000152,490,1650,330,630,"3,130"
E02000153,90,2670,130,50,"2,930"
E02000154,680,1730,700,340,"3,440"
E02000155,330,2110,650,73,"3,150"
E02000156,420,3630,620,210,"4,920"
E02000157,113,2130,1060,93,"3,400"
E02000158,36,1780,930,340,"3,100"
E02000159,490,1550,540,290,"2,890"
E02000160,240,2390,340,50,"3,040"
E02000161,53,2030,980,370,"3,430"
E02000162,500,970,1200,260,"2,950"
E02000163,520,1730,640,240,"3,120"
E02000165,70,550,1910,230,"2,780"
E02000166,2380,310,800,120,"3,720"
E02000167,2870,500,320,130,"3,860"
E02000168,2680,360,340,180,"3,620"
E02000169,2290,370,280,310,"3,270"
E02000170,3200,170,170,200,"3,780"
E02000171,2530,570,250,193,"3,550"
E02000172,1310,770,1640,640,"4,360"
E02000173,2560,440,470,420,"3,920"
E02000174,2620,680,190,270,"3,780"
E02000175,3230,250,410,560,"4,470"
E02000176,2520,570,290,50,"3,430"
E02000177,1346,1450,1020,410,"4,280"
E02000178,2953,310,790,320,"4,420"
E02000179,1090,543,1300,130,"3,060"
E02000180,1920,490,880,330,"3,630"
E02000181,3303,540,170,60,"4,120"
E02000182,1190,1463,450,320,"3,460"
E02000183,2320,270,900,630,"4,120"
E02000184,1303,530,1490,760,"4,110"
E02000185,1203,980,1710,420,"4,320"
E02000186,2013,490,420,700,"3,670"
E02000187,910,1090,1140,800,"4,030"
E02000188,443,2030,440,560,"3,500"
E02000189,1310,480,250,263,"2,370"
E02000190,2150,510,760,240,"3,690"
E02000191,1570,553,460,780,"3,390"
E02000192,1720,580,340,980,"3,750"
E02000193,2123,960,550,830,"4,550"
E02000194,1420,1300,1240,310,"4,410"
E02000195,1350,1540,410,210,"3,530"
E02000196,1250,1030,53,260,"2,600"
E02000197,1790,1170,180,210,"3,420"
E02000198,2000,640,590,300,"3,540"
E02000199,2130,880,120,160,"3,310"
E02000200,1540,1210,840,280,"4,000"
E02000201,1870,890,740,420,"4,080"
E02000202,2410,463,183,16,"3,080"
E02000203,2230,260,500,160,"3,170"
E02000204,2560,330,90,190,"3,170"
E02000206,2780,570,650,350,"4,380"
E02000207,1510,820,580,730,"3,690"
E02000208,1720,760,660,760,"3,940"
E02000209,1380,890,190,510,"2,990"
E02000210,2350,440,420,213,"3,420"
E02000211,150,1460,1460,250,"3,330"
E02000212,1650,913,130,370,"3,070"
E02000213,2160,220,1300,1090,"4,790"
E02000214,1570,593,33,150,"2,360"
E02000215,3280,580,790,370,"5,050"
E02000216,190,510,2190,190,"3,080"
E02000217,2180,480,740,1310,"4,760"
E02000218,203,1980,153,100,"2,430"
E02000219,800,1590,510,170,"3,090"
E02000220,2200,530,1420,1050,"5,300"
E02000221,190,2170,790,880,"4,040"
E02000222,1840,690,440,520,"3,550"
E02000223,0,1390,1450,50,"2,890"
E02000224,2100,810,200,190,"3,370"
E02000225,123,2330,280,50,"2,770"
E02000226,320,2180,290,40,"2,850"
E02000227,60,1290,3580,70,"5,000"
E02000228,400,1900,490,200,"2,990"
E02000229,10,1980,400,50,"2,440"
E02000230,1090,1550,740,710,"4,190"
E02000231,1130,1040,230,230,"2,710"
E02000232,23,1840,390,110,"2,370"
E02000233,600,1250,340,220,"2,470"
E02000234,790,1140,960,380,"3,310"
E02000235,360,1580,500,230,"2,730"
E02000236,700,1880,170,190,"2,940"
E02000237,80,2490,380,140,"3,110"
E02000238,633,1870,580,230,"3,320"
E02000239,343,2540,9,80,"2,970"
E02000240,53,2410,1130,350,"3,940"
E02000241,113,1870,350,200,"2,520"
E02000242,290,1666,23,220,"2,190"
E02000243,226,2070,710,150,"3,160"
E02000244,423,1650,380,280,"2,730"
E02000245,23,750,2180,460,"3,420"
E02000246,16,2150,930,50,"3,150"
E02000247,80,1740,1240,800,"3,860"
E02000248,210,2030,650,150,"3,050"
E02000249,650,1540,373,330,"2,900"
E02000250,1370,680,480,83,"2,610"
E02000251,280,2093,110,30,"2,520"
E02000252,1270,1010,763,1310,"4,340"
E02000253,490,2540,720,190,"3,930"
E02000254,320,2200,30,70,"2,620"
E02000255,1440,880,1400,100,"3,830"
E02000256,2260,650,550,440,"3,890"
E02000257,3270,1550,1060,630,"6,530"
E02000258,2140,330,90,130,"2,690"
E02000259,1310,650,340,100,"2,380"
E02000260,820,1480,140,170,"2,630"
E02000261,1680,1200,430,1250,"4,580"
E02000262,2910,150,500,410,"3,970"
E02000263,1880,1170,30,350,"3,420"
E02000264,2530,330,300,390,"3,530"
E02000265,2890,280,970,770,"4,930"
E02000266,200,1310,1190,1240,"3,930"
E02000267,2300,250,210,400,"3,160"
E02000268,2680,510,640,130,"3,960"
E02000269,2970,140,160,90,"3,380"
E02000270,1250,660,1290,650,"3,840"
E02000271,2690,140,83,70,"3,020"
E02000272,1790,553,270,23,"2,640"
E02000274,2130,1240,50,740,"4,170"
E02000275,1050,640,430,140,"2,260"
E02000276,2210,130,440,80,"2,870"
E02000277,710,1510,270,220,"2,700"
E02000278,340,2000,770,340,"3,440"
E02000279,1000,830,850,1990,"4,670"
E02000280,1340,1290,730,170,"3,550"
E02000281,450,1940,460,720,"3,560"
E02000282,350,1420,1520,230,"3,510"
E02000283,730,1860,130,220,"2,930"
E02000284,1320,1300,580,430,"3,610"
E02000285,210,2180,93,43,"2,520"
E02000286,610,990,1910,620,"4,120"
E02000287,190,1740,420,360,"2,720"
E02000288,1180,1680,500,500,"3,850"
E02000289,30,2230,140,110,"2,500"
E02000290,380,800,1120,560,"2,860"
E02000291,1470,900,1300,720,"4,380"
E02000292,1530,1910,100,120,"3,640"
E02000293,730,1160,490,170,"2,530"
E02000294,610,2180,170,140,"3,090"
E02000295,170,1830,273,1130,"3,410"
E02000296,860,1650,940,730,"4,180"
E02000297,1510,1550,310,183,"3,560"
E02000298,1470,1290,230,90,"3,100"
E02000299,1790,970,510,240,"3,490"
E02000300,1390,930,370,340,"3,030"
E02000301,1180,970,1050,800,"4,000"
E02000302,770,2050,260,130,"3,200"
E02000303,1460,960,320,360,"3,090"
E02000304,1360,1240,150,210,"2,950"
E02000305,2920,330,170,170,"3,590"
E02000306,470,1020,1140,950,"3,590"
E02000307,1290,2000,43,30,"3,360"
E02000308,1260,900,650,120,"2,930"
E02000309,1800,1230,390,450,"3,870"
E02000311,1410,1280,620,420,"3,710"
E02000312,3330,380,420,270,"4,390"
E02000313,0,0,2323,170,"2,500"
E02000314,0,0,1060,3483,"4,590"
E02000315,250,2930,66,300,"3,590"
E02000316,1330,520,1340,2170,"5,390"
E02000317,590,1310,1080,310,"3,290"
E02000318,2140,400,520,320,"3,440"
E02000319,1700,213,1040,920,"3,900"
E02000320,1440,980,130,43,"2,580"
E02000321,713,460,1530,290,"3,000"
E02000323,1860,690,1240,620,"4,460"
E02000324,670,1410,660,140,"2,880"
E02000326,1890,580,220,410,"3,120"
E02000327,533,230,1390,230,"2,390"
E02000328,1520,440,920,340,"3,230"
E02000329,890,1190,280,90,"2,480"
E02000331,660,1310,560,730,"3,320"
E02000332,1100,1290,570,70,"3,050"
E02000333,1570,810,570,100,"3,080"
E02000334,350,1950,230,83,"2,630"
E02000335,1103,1470,66,33,"2,680"
E02000337,590,1970,153,400,"3,110"
E02000339,1800,530,240,33,"2,620"
E02000340,600,1790,470,40,"2,960"
E02000341,83,2600,253,133,"3,070"
E02000342,500,1370,170,250,"2,290"
E02000343,120,2360,260,40,"2,770"
E02000344,340,1880,260,53,"2,530"
E02000345,1500,540,410,330,"2,790"
E02000346,230,2040,150,1120,"3,550"
E02000347,1600,560,390,193,"2,780"
E02000348,920,1420,370,110,"2,840"
E02000350,3080,300,70,280,"3,740"
E02000351,2300,230,480,1130,"4,160"
E02000352,1030,1080,300,380,"2,780"
E02000353,2453,230,300,250,"3,260"
E02000354,2060,613,710,750,"4,170"
E02000355,2730,270,60,110,"3,220"
E02000356,2090,480,210,420,"3,220"
E02000357,100,1290,930,450,"2,790"
E02000358,2750,850,870,430,"4,910"
E02000359,1723,140,520,150,"2,560"
E02000360,1770,1780,570,720,"4,930"
E02000361,2020,700,430,500,"3,690"
E02000362,670,190,820,1000,"2,830"
E02000363,380,2420,1220,750,"4,840"
E02000364,2433,470,470,650,"4,020"
E02000365,2720,380,1030,2150,"6,340"
E02000366,1753,950,630,310,"3,680"
E02000367,1310,1120,440,1530,"4,430"
E02000368,550,1760,1270,560,"4,120"
E02000369,540,1620,1170,2460,"5,880"
E02000370,283,2090,550,910,"3,890"
E02000371,1610,2190,700,2000,"7,100"
E02000372,2240,370,420,760,"3,820"
E02000373,340,1933,100,240,"2,620"
E02000374,2100,140,170,190,"2,620"
E02000375,1880,260,830,430,"3,410"
E02000376,2710,83,230,270,"3,330"
E02000377,2670,380,190,340,"3,610"
E02000378,2490,430,503,90,"3,550"
E02000379,1690,483,340,780,"3,320"
E02000380,2243,110,113,150,"2,630"
E02000381,3243,190,370,33,"3,890"
E02000382,1660,633,270,570,"3,140"
E02000383,2660,1230,600,70,"4,550"
E02000384,2080,790,390,220,"3,500"
E02000385,2910,170,33,30,"3,170"
E02000386,1780,570,1180,220,"3,780"
E02000387,1273,350,930,80,"2,650"
E02000388,2900,50,680,320,"3,980"
E02000389,2470,210,620,300,"3,610"
E02000390,2373,70,320,200,"2,970"
E02000391,2630,150,580,240,"3,590"
E02000392,2943,860,180,250,"4,240"
E02000393,2480,40,143,50,"2,710"
E02000394,1710,200,703,2080,"4,720"
E02000395,1963,490,350,93,"2,890"
E02000396,1640,650,190,380,"2,860"
E02000397,2360,220,710,210,"3,500"
E02000398,1180,400,1260,150,"3,000"
E02000400,1270,690,540,640,"3,140"
E02000401,1800,230,350,70,"2,440"
E02000402,1520,440,370,173,"2,500"
E02000403,2500,100,240,140,"3,010"
E02000404,1380,450,553,310,"2,690"
E02000405,2150,200,113,70,"2,510"
E02000406,2420,140,80,33,"2,670"
E02000407,2350,76,370,350,"3,150"
E02000408,1320,650,710,320,"3,000"
E02000409,950,173,1220,210,"2,530"
E02000410,2070,480,140,83,"2,750"
E02000411,1420,140,980,1250,"3,840"
E02000412,1710,100,700,410,"2,920"
E02000413,1820,440,220,490,"2,970"
E02000414,2700,40,60,20,"2,830"
E02000415,2170,190,260,200,"2,830"
E02000416,1640,370,740,750,"3,500"
E02000417,2110,330,180,93,"2,730"
E02000418,1900,140,183,83,"2,300"
E02000419,3070,160,113,170,"3,510"
E02000420,2120,130,820,220,"3,310"
E02000421,1460,440,830,560,"3,300"
E02000422,1700,83,950,240,"2,970"
E02000423,2213,70,273,43,"2,610"
E02000424,2510,123,210,250,"3,090"
E02000425,1670,140,310,133,"2,260"
E02000426,1370,1060,330,140,"2,910"
E02000427,2563,20,100,253,"2,940"
E02000428,1320,500,950,210,"2,980"
E02000429,1680,620,760,340,"3,420"
E02000430,2740,250,190,273,"3,440"
E02000431,2280,390,300,100,"3,080"
E02000432,2500,370,53,40,"2,960"
E02000433,230,1560,950,900,"3,660"
E02000434,460,2030,490,630,"3,600"
E02000435,180,1370,920,420,"2,880"
E02000436,320,1120,590,80,"2,120"
E02000437,370,2000,640,150,"3,170"
E02000438,220,2060,680,150,"3,100"
E02000439,263,2160,280,113,"2,820"
E02000440,160,2870,100,43,"3,160"
E02000441,260,1510,910,230,"2,910"
E02000442,40,2480,43,33,"2,590"
E02000443,1550,1290,380,180,"3,390"
E02000444,10,2610,13,63,"2,700"
E02000445,1380,1510,400,580,"3,870"
E02000447,1223,860,330,100,"2,510"
E02000448,890,990,740,170,"2,790"
E02000449,100,2240,180,23,"2,550"
E02000451,663,1590,106,56,"2,400"
E02000452,2050,670,220,410,"3,370"
E02000453,2170,140,290,410,"3,020"
E02000454,73,2270,43,180,"2,570"
E02000455,1340,540,720,880,"3,480"
E02000456,1360,740,440,60,"2,590"
E02000457,30,2110,16,260,"2,410"
E02000459,610,1310,730,690,"3,330"
E02000460,150,1310,203,690,"2,330"
E02000461,780,790,780,340,"2,700"
E02000462,860,1160,210,120,"2,350"
E02000463,90,2360,340,50,"2,840"
E02000464,60,1930,420,470,"2,870"
E02000465,110,2913,133,320,"3,450"
E02000466,110,2270,710,270,"3,370"
E02000467,0,2970,1060,270,"4,310"
E02000468,23,2100,890,210,"3,240"
E02000469,13,1640,860,240,"2,750"
E02000470,460,1970,900,480,"3,820"
E02000471,116,2670,180,110,"3,060"
E02000472,310,3010,230,100,"3,640"
E02000473,83,2860,540,550,"4,050"
E02000474,900,1870,490,370,"3,640"
E02000475,630,2260,670,590,"4,160"
E02000476,830,1230,580,1630,"4,320"
E02000477,520,2720,320,270,"3,840"
E02000478,290,960,750,220,"2,230"
E02000479,1550,1010,700,540,"3,810"
E02000480,800,2390,310,1190,"4,750"
E02000481,100,2870,260,110,"3,370"
E02000482,460,1870,190,90,"2,610"
E02000483,200,2170,930,280,"3,600"
E02000484,33,2320,563,400,"3,330"
E02000485,180,2800,340,170,"3,500"
E02000486,110,2650,210,110,"3,070"
E02000487,460,2480,53,23,"3,030"
E02000488,43,1710,1080,213,"3,030"
E02000489,36,2060,990,250,"3,330"
E02000490,53,2550,580,80,"3,270"
E02000491,150,2090,940,690,"3,870"
E02000492,120,1510,840,180,"2,680"
E02000493,430,1390,520,220,"2,580"
E02000494,440,850,1640,390,"3,330"
E02000495,1160,1660,1280,370,"4,480"
E02000496,500,1300,830,520,"3,170"
E02000497,160,2090,880,680,"3,810"
E02000498,360,1200,1020,150,"2,720"
E02000499,100,2560,400,70,"3,120"
E02000500,650,1830,310,540,"3,320"
E02000501,203,2530,290,190,"3,230"
E02000502,100,2240,780,380,"3,480"
E02000503,40,2990,70,250,"3,340"
E02000504,303,1960,650,80,"2,990"
E02000506,540,1240,790,380,"2,940"
E02000507,226,2520,23,70,"2,830"
E02000508,760,700,1440,900,"3,790"
E02000509,1140,760,970,880,"3,750"
E02000510,320,1920,660,420,"3,320"
E02000511,20,2860,290,153,"3,320"
E02000512,430,1610,660,420,"3,110"
E02000513,60,2030,1080,180,"3,330"
E02000514,180,2600,270,160,"3,220"
E02000515,400,1820,1800,800,"4,810"
E02000516,10,1220,833,790,"2,880"
E02000517,340,2080,480,490,"3,370"
