id,AvPTAI2015,PTAL
E02000225,9.527817374,2
E02000226,9.826034994,2
E02000227,9.729417194,2
E02000228,10.66648901,3
E02000229,12.33829421,3
E02000230,12.15732242,3
E02000231,9.534598992,2
E02000232,11.00658654,3
E02000233,11.83934876,3
E02000234,12.47886232,3
E02000235,11.23269016,3
E02000236,11.74435264,3
E02000237,11.38022502,3
E02006788,9.697763392,2
E02000238,4.674699,1b
E02000239,4.674699,1b
E02000240,7.97482,2
E02000241,7.97482,2
E02000242,6.204748,2
E02000243,7.332335,2
E02000244,6.204748,2
E02000245,3.727794,1b
E02000246,3.727794,1b
E02000247,8.948617,2
E02000248,10.487879,3
E02000249,8.948617,2
E02000250,7.309091,2
E02000251,5.908497,2
E02000252,12.104019,3
E02000253,7.311404,2
E02000254,5.908497,2
E02000255,7.309091,2
E02000256,19.983871,4
E02000257,10.487879,3
E02000258,8.123596,2
E02000259,7.311404,2
E02000260,7.696833,2
E02000261,12.104019,3
E02000262,8.123596,2
E02000263,8.79375,2
E02000264,15.40678,4
E02000265,12.455172,3
E02000266,3.688654,1b
E02000267,8.99005,2
E02000268,12.15566,3
E02000269,12.455172,3
E02000270,15.40678,4
E02000271,9.802817,2
E02000272,9.548387,2
E02000274,7.067901,2
E02000275,3.688654,1b
E02000276,9.548387,2
E02006791,9.802817,2
E02000277,4.707965,1b
E02000278,4.707965,1b
E02000279,4.230769,1b
E02000280,0.756198,1a
E02000281,0.756198,1a
E02000282,4.707965,1b
E02000283,3.37797,1b
E02000284,7.884793,2
E02000285,7.884793,2
E02000286,3.83301,1b
E02000287,3.014437,1b
E02000288,5.465909,2
E02000289,3.83301,1b
E02000290,5.465909,2
E02000291,5.76378,2
E02000292,7.512281,2
E02000293,7.641337,2
E02000294,2.663342,1b
E02000295,7.973684,2
E02000296,3.014437,1b
E02000297,5.76378,2
E02000298,5.938628,2
E02000299,6.088785,2
E02000300,6.909091,2
E02000301,6.088785,2
E02000302,5.968912,2
E02000303,8.913462,2
E02000304,11.16092,3
E02000305,5.938628,2
E02000306,8.913462,2
E02000307,6.909091,2
E02000308,11.16092,3
E02000309,7.503788,2
E02000311,11.064935,3
E02000312,11.064935,3
E02006793,7.503788,2
E02000313,4.443299,1b
E02000314,4.443299,1b
E02000315,7.041045,2
E02000316,14.550459,3
E02000317,14.550459,3
E02000318,7.116379,2
E02000319,11.987952,3
E02000320,7.041045,2
E02000321,11.987952,3
E02000323,12.426415,3
E02000324,11.8867,3
E02000326,11.8867,3
E02000327,12.426415,3
E02000328,10.130841,3
E02000329,4.122667,1b
E02000331,4.684874,1b
E02000332,4.122667,1b
E02000333,10.130841,3
E02000334,4.684874,1b
E02000335,8.698473,2
E02000337,9.131148,2
E02000339,8.698473,2
E02000340,7.511879,2
E02000341,5.285276,2
E02000342,7.511879,2
E02000343,6.595331,2
E02000344,6.595331,2
E02006786,7.116379,2
E02006927,5.285276,2
E02006928,12.952899,3
E02006929,9.706935,2
E02006930,9.706935,2
E02006931,12.952899,3
E02000345,11.2,3
E02000346,17.920455,4
E02000347,12.26087,3
E02000348,15.873239,4
E02000350,15.873239,4
E02000351,29.72549,6a
E02000352,10.105769,3
E02000353,17.278351,4
E02000354,18.858491,4
E02000355,15.621359,4
E02000356,10.105769,3
E02000357,4.405128,1b
E02000358,18.756098,4
E02000359,4.405128,1b
E02000360,29.820513,6a
E02000361,29.820513,6a
E02000362,10.778481,3
E02000363,24.3125,5
E02000364,30.222222,6a
E02000365,18.852941,4
E02000366,14.480519,3
E02000367,14.480519,3
E02000368,16.597701,4
E02000369,38.504854,6a
E02000370,25.031746,6a
E02000371,38.504854,6a
E02006918,15.621359,4
E02006921,15.873239,4
E02000372,9.964809,2
E02000373,7.613636,2
E02000374,7.613636,2
E02000375,28.590909,6a
E02000376,28.590909,6a
E02000377,9.962025,2
E02000378,30.927273,6a
E02000379,9.962025,2
E02000380,34.783019,6a
E02000381,30.927273,6a
E02000382,14.408,3
E02000383,28.277778,6a
E02000384,34.783019,6a
E02000385,21.84375,5
E02000386,21.84375,5
E02000387,14.791209,3
E02000388,20.279412,5
E02000389,10.33557,3
E02000390,11.419355,3
E02000391,17.146067,4
E02000392,17.492308,4
E02000393,11.419355,3
E02000394,9.471014,2
E02000395,17.492308,4
E02000396,9.471014,2
E02000397,17.086957,4
E02000398,10.521739,3
E02000400,17.086957,4
E02000401,9.052326,2
E02000402,9.052326,2
E02000403,14.283784,3
E02000404,14.283784,3
E02000405,6.339695,2
E02000406,22.704918,5
E02000407,16.139785,4
E02000408,15.473958,4
E02000409,10.882353,3
E02000410,6.339695,2
E02000411,15.473958,4
E02000412,22.704918,5
E02000413,6.385787,2
E02000414,16.139785,4
E02000415,10.882353,3
E02000416,9.712963,2
E02000417,7.209877,2
E02000418,7.209877,2
E02000419,23.237179,5
E02000420,25.457143,6a
E02000421,25.457143,6a
E02000422,11.697248,3
E02000423,11.697248,3
E02000424,16.9,4
E02000425,14.622047,3
E02000426,8.207171,2
E02000427,23.237179,5
E02000428,14.622047,3
E02000429,8.110345,2
E02000430,8.110345,2
E02000431,8.207171,2
E02000432,16.9,4
E02006794,10.521739,3
E02000433,2.38,1a
E02000434,3.298561,1b
E02000435,2.38,1a
E02000436,3.662539,1b
E02000437,3.31441,1b
E02000438,3.662539,1b
E02000439,7.5,2
E02000440,3.642458,1b
E02000441,3.003021,1b
E02000442,7.5,2
E02000443,8.661157,2
E02000444,5.098765,2
E02000445,11.715152,3
E02000447,5.027027,2
E02000448,3.003021,1b
E02000449,5.382813,2
E02000451,5.027027,2
E02000452,11.715152,3
E02000453,8.144828,2
E02000454,4.457265,1b
E02000455,20.027933,5
E02000456,10.006623,3
E02000457,10.006623,3
E02000459,7.006579,2
E02000460,7.006579,2
E02000461,7.297753,2
E02000462,8.409091,2
E02000463,8.409091,2
E02006795,9.235294,2
E02006882,6.892045,2
E02000464,1.943299,1a
E02000465,1.943299,1a
E02000466,1.092857,1a
E02000467,1.943299,1a
E02000468,1.092857,1a
E02000469,2.997093,1b
E02000470,2.211921,1a
E02000471,3.24173,1b
E02000472,3.24173,1b
E02000473,6.387218,2
E02000474,4.296053,1b
E02000475,6.387218,2
E02000476,16.020833,4
E02000477,2.509761,1b
E02000478,2.509761,1b
E02000479,16.020833,4
E02000480,5.864929,2
E02000481,3.115854,1b
E02000482,3.115854,1b
E02000483,8.854478,2
E02000484,3.568966,1b
E02000485,5.417004,2
E02000486,8.854478,2
E02000487,1.001332,1a
E02000488,5.417004,2
E02000489,3.553425,1b
E02000490,2.705968,1b
E02000491,2.705968,1b
E02000492,0.85003,1a
E02000493,0.85003,1a
E02000494,2.39782,1a
E02000495,3.927492,1b
E02000496,0.583879,1a
E02000497,3.927492,1b
E02000498,4.144144,1b
E02000499,3.103704,1b
E02000500,3.103704,1b
E02000501,4.646465,1b
E02000502,8.668342,2
E02000503,8.668342,2
E02000504,2.340909,1a
E02000506,4.993562,1b
E02000507,2.143251,1a
E02000508,4.993562,1b
E02000509,4.725806,1b
E02000510,4.993562,1b
E02000511,3.535836,1b
E02000512,2.143251,1a
E02000513,2.858974,1b
E02000514,4.577465,1b
E02000515,5.969605,2
E02000516,2.858974,1b
E02000517,6.336406,2
E02000518,4.2134,1b
E02000519,5.525714,2
E02000520,6.336406,2
E02000521,3.783237,1b
E02000522,3.783237,1b
E02000523,5.122302,2
E02000524,3.98766,1b
E02000525,3.98766,1b
E02006796,3.165997,1b
E02000526,6.423423,2
E02000528,7.867508,2
E02000529,4.937799,1b
E02000530,3.483029,1b
E02000531,8.191489,2
E02000532,5.860577,2
E02000533,5.860577,2
E02000534,3.734921,1b
E02000535,3.483029,1b
E02000536,7.137725,2
E02000537,4.937799,1b
E02000538,4.240741,1b
E02000539,8.191489,2
E02000540,19.494253,4
E02000541,12.420732,3
E02000542,12.420732,3
E02000543,5.733577,2
E02000544,4.619318,1b
E02000545,4.317308,1b
E02000546,5.733577,2
E02000547,7.529412,2
E02000548,2.376682,1a
E02000549,7.529412,2
E02000550,2.637224,1b
E02000551,3.334375,1b
E02000552,4.794038,1b
E02000553,3.334375,1b
E02006792,14.225989,3
E02000554,16.493976,4
E02000555,14.865854,3
E02000556,16.493976,4
E02000557,23.84,5
E02000558,36.265957,6a
E02000559,29.416667,6a
E02000560,36.265957,6a
E02000561,15.059524,4
E02000562,22.613861,5
E02000563,15.059524,4
E02000564,24.262626,5
E02000565,24.641975,5
E02000566,22.613861,5
E02000567,27.547619,6a
E02000568,27.017544,6a
E02000569,27.547619,6a
E02000570,22.735632,5
E02000571,21.051948,5
E02000572,27.017544,6a
E02000573,21.051948,5
E02000574,37.677083,6a
E02000575,44,6b
E02000576,44,6b
E02000577,15.947368,4
E02000578,10.022472,3
E02000579,14.895833,3
E02000580,21.480769,5
E02000581,12.425926,3
E02000582,33.102564,6a
E02000583,26.392157,6a
E02000584,26.931373,6a
E02000585,23.484848,5
E02000586,5.655172,2
E02000586,24.610169,5
E02000587,27.596491,6a
E02000588,31.122642,6a
E02000589,33.901639,6a
E02000590,31.122642,6a
E02000591,37.895833,6a
E02000592,33.901639,6a
E02000593,25.810811,6a
E02000594,18.892157,4
E02000595,24.767123,5
E02000596,25.810811,6a
E02000597,14.285714,3
E02000598,3.922581,1b
E02000599,3.502252,1b
E02000600,3.502252,1b
E02000601,12.336,3
E02000602,9.414815,2
E02000603,9.414815,2
E02000604,7.062827,2
E02000605,7.062827,2
E02000606,15.8,4
E02000607,11.095588,3
E02000608,11.095588,3
E02000609,5.944751,2
E02000610,8.163636,2
E02000611,3.933086,1b
E02000612,5.065421,2
E02000613,8.163636,2
E02000614,3.644788,1b
E02000615,4.157895,1b
E02000616,1.743083,1a
E02000617,1.743083,1a
E02000619,31.694215,6a
E02000620,31.694215,6a
E02000621,35.857143,6a
E02000622,35.857143,6a
E02000623,22.340909,5
E02000624,14.408696,3
E02000625,19.838095,4
E02000626,26.966667,6a
E02000627,19.838095,4
E02000628,29,6a
E02000629,19.838095,4
E02000630,20.522124,5
E02000631,15.62439,4
E02000632,29,6a
E02000633,15.287129,4
E02000634,20.522124,5
E02000635,15.62439,4
E02000636,15.176923,4
E02000637,15.287129,4
E02000638,18.208696,4
E02000639,9.92381,2
E02000640,9.92381,2
E02000641,15.287129,4
E02000642,18.038961,4
E02000643,19.65873,4
E02000644,13.266667,3
E02000645,18.038961,4
E02000646,22.165517,5
E02000647,12.613793,3
E02000648,12.613793,3
E02000649,22.165517,5
E02000650,10.700637,3
E02000651,11.700599,3
E02000652,11.700599,3
E02006801,83.457516,6b
E02000653,8.174157,2
E02000654,8.174157,2
E02000655,16.934426,4
E02000657,22.845238,5
